record_id,window_id,cluster_id,task_class,MI,composite,assigned_node,reason,latency_ms,energy_mj
100,32,0,0,1146,0.2362,edge-south,qsopoa_allocated,58.3,1.156
100,33,0,0,1009,0.1426,edge-central,qsopoa_allocated,51.45,1.019
100,34,0,0,1050,0.1712,edge-south,qsopoa_allocated,53.5,1.06
100,35,2,0,1155,0.2427,edge-central,qsopoa_allocated,58.75,1.165
100,36,1,1,1566,0.288,edge-north,qsopoa_allocated,79.3,1.591
100,37,1,1,1884,0.3515,edge-south,qsopoa_allocated,95.2,1.909
100,38,1,1,1766,0.328,edge-north,qsopoa_allocated,89.3,1.791
100,39,1,1,1722,0.3192,edge-south,qsopoa_allocated,87.1,1.747
100,40,1,1,1533,0.2814,edge-south,qsopoa_allocated,77.65,1.558
100,41,1,1,1909,0.3566,edge-south,qsopoa_allocated,96.45,1.934
100,42,1,1,1759,0.3265,edge-west,qsopoa_allocated,88.95,1.784
100,43,1,1,1736,0.322,edge-central,qsopoa_allocated,87.8,1.761
100,44,1,1,1763,0.3274,edge-central,qsopoa_allocated,89.15,1.788
100,45,1,1,1517,0.2781,edge-central,qsopoa_allocated,76.85,1.542
100,46,1,1,1757,0.3261,edge-south,qsopoa_allocated,88.85,1.782
100,47,0,0,1149,0.2381,edge-west,qsopoa_allocated,58.45,1.159
100,48,1,1,1719,0.3185,edge-north,qsopoa_allocated,86.95,1.744
100,49,1,1,1809,0.3366,edge-central,qsopoa_allocated,91.45,1.834
100,50,1,1,1507,0.2761,edge-west,qsopoa_allocated,76.35,1.532
100,51,1,1,1617,0.2981,edge-south,qsopoa_allocated,81.85,1.642
100,52,1,1,1610,0.2968,edge-central,qsopoa_allocated,81.5,1.635
100,53,1,1,1638,0.3023,edge-west,qsopoa_allocated,82.9,1.663
100,54,0,0,1018,0.1493,edge-south,qsopoa_allocated,51.9,1.028
100,55,1,1,1942,0.3631,edge-central,qsopoa_allocated,98.1,1.967
100,56,0,0,1001,0.1372,edge-central,qsopoa_allocated,51.05,1.011
100,57,1,1,1793,0.3333,edge-south,qsopoa_allocated,90.65,1.818
100,58,1,1,1671,0.3089,edge-south,qsopoa_allocated,84.55,1.696
100,59,0,0,1031,0.1577,edge-south,qsopoa_allocated,52.55,1.041
100,60,1,1,1608,0.2964,edge-west,qsopoa_allocated,81.4,1.633
100,61,1,1,1508,0.2764,edge-north,qsopoa_allocated,76.4,1.533
100,62,2,0,1200,0.273,edge-south,qsopoa_allocated,61.0,1.21
100,63,1,1,1750,0.3248,edge-west,qsopoa_allocated,88.5,1.775
100,64,1,1,1790,0.3327,edge-west,qsopoa_allocated,90.5,1.815
100,65,1,1,1730,0.3208,edge-central,qsopoa_allocated,87.5,1.755
100,66,2,0,1157,0.2437,edge-west,qsopoa_allocated,58.85,1.167
100,67,1,1,1723,0.3194,edge-west,qsopoa_allocated,87.15,1.748
100,68,2,0,1188,0.2652,edge-central,qsopoa_allocated,60.4,1.198
100,69,1,1,1675,0.3097,edge-central,qsopoa_allocated,84.75,1.7
100,70,0,0,1049,0.1702,edge-south,qsopoa_allocated,53.45,1.059
100,71,1,1,2018,0.3784,edge-north,qsopoa_allocated,101.9,2.043
100,72,2,0,1186,0.2635,edge-central,qsopoa_allocated,60.3,1.196
100,73,2,1,1540,0.2827,edge-south,qsopoa_allocated,78.0,1.565
100,74,2,0,1186,0.2636,edge-south,qsopoa_allocated,60.3,1.196
100,75,2,0,1145,0.2356,edge-north,qsopoa_allocated,58.25,1.155
100,76,1,1,2046,0.384,edge-west,qsopoa_allocated,103.3,2.071
100,77,2,0,1166,0.2501,edge-central,qsopoa_allocated,59.3,1.176
100,78,1,1,1593,0.2934,edge-north,qsopoa_allocated,80.65,1.618
100,79,2,0,1081,0.1918,edge-north,qsopoa_allocated,55.05,1.091
100,80,0,0,1049,0.17,edge-south,qsopoa_allocated,53.45,1.059
100,81,2,1,1544,0.2836,edge-south,qsopoa_allocated,78.2,1.569
100,82,2,1,1561,0.2869,edge-central,qsopoa_allocated,79.05,1.586
100,83,1,1,1728,0.3204,edge-central,qsopoa_allocated,87.4,1.753
100,84,1,1,1569,0.2885,edge-north,qsopoa_allocated,79.45,1.594
100,85,1,1,1562,0.2871,edge-central,qsopoa_allocated,79.1,1.587
100,86,1,1,1561,0.2869,edge-central,qsopoa_allocated,79.05,1.586
100,87,1,1,1869,0.3485,edge-south,qsopoa_allocated,94.45,1.894
100,88,2,0,1193,0.2686,edge-west,qsopoa_allocated,60.65,1.203
100,89,2,0,1142,0.2338,edge-north,qsopoa_allocated,58.1,1.152
100,90,2,0,1067,0.1822,edge-north,qsopoa_allocated,54.35,1.077
100,91,2,0,1197,0.2714,edge-south,qsopoa_allocated,60.85,1.207
100,92,2,1,1537,0.2821,edge-south,qsopoa_allocated,77.85,1.562
100,93,0,0,1096,0.2023,edge-central,qsopoa_allocated,55.8,1.106
100,94,1,1,2004,0.3756,edge-south,qsopoa_allocated,101.2,2.029
100,95,1,1,1814,0.3376,edge-north,qsopoa_allocated,91.7,1.839
100,96,1,1,1682,0.3112,edge-south,qsopoa_allocated,85.1,1.707
100,97,0,0,1082,0.1928,edge-north,qsopoa_allocated,55.1,1.092
100,98,1,1,1872,0.3491,edge-central,qsopoa_allocated,94.6,1.897
100,99,2,0,1200,0.2734,edge-west,qsopoa_allocated,61.0,1.21
100,100,1,1,1946,0.364,edge-central,qsopoa_allocated,98.3,1.971
100,101,1,1,1736,0.3219,edge-west,qsopoa_allocated,87.8,1.761
100,102,2,1,1529,0.2806,edge-south,qsopoa_allocated,77.45,1.554
100,103,2,0,1199,0.2723,edge-west,qsopoa_allocated,60.95,1.209
100,104,1,1,1859,0.3465,edge-north,qsopoa_allocated,93.95,1.884
100,105,1,1,1700,0.3148,edge-west,qsopoa_allocated,86.0,1.725
100,106,1,1,1689,0.3125,edge-west,qsopoa_allocated,85.45,1.714
100,107,1,1,1684,0.3116,edge-central,qsopoa_allocated,85.2,1.709
100,108,1,1,1634,0.3016,edge-north,qsopoa_allocated,82.7,1.659
100,109,1,1,1732,0.3211,edge-south,qsopoa_allocated,87.6,1.757
100,110,1,1,1823,0.3393,edge-central,qsopoa_allocated,92.15,1.848
100,111,1,1,1762,0.3271,edge-central,qsopoa_allocated,89.1,1.787
100,112,2,1,1510,0.2767,edge-central,qsopoa_allocated,76.5,1.535
100,113,2,0,1161,0.2466,edge-south,qsopoa_allocated,59.05,1.171
100,114,0,0,1019,0.15,edge-north,qsopoa_allocated,51.95,1.029
100,115,2,0,1154,0.2419,edge-central,qsopoa_allocated,58.7,1.164
100,116,1,1,1610,0.2967,edge-south,qsopoa_allocated,81.5,1.635
100,117,2,0,1146,0.2363,edge-south,qsopoa_allocated,58.3,1.156
100,118,1,1,1605,0.2958,edge-north,qsopoa_allocated,81.25,1.63
100,119,2,0,1162,0.2476,edge-south,qsopoa_allocated,59.1,1.172
100,120,2,0,1166,0.2499,edge-north,qsopoa_allocated,59.3,1.176
100,121,2,0,1189,0.2654,edge-central,qsopoa_allocated,60.45,1.199
100,122,1,1,1526,0.28,edge-west,qsopoa_allocated,77.3,1.551
100,123,1,1,1713,0.3174,edge-central,qsopoa_allocated,86.65,1.738
100,124,1,1,1630,0.3008,edge-central,qsopoa_allocated,82.5,1.655
100,125,1,1,1504,0.2756,edge-central,qsopoa_allocated,76.2,1.529
100,126,0,0,1039,0.1637,edge-central,qsopoa_allocated,52.95,1.049
100,127,0,0,1011,0.1441,edge-west,qsopoa_allocated,51.55,1.021
100,128,2,0,1163,0.2478,edge-west,qsopoa_allocated,59.15,1.173
100,129,1,1,1654,0.3056,edge-central,qsopoa_allocated,83.7,1.679
100,130,2,0,1182,0.2612,edge-central,qsopoa_allocated,60.1,1.192
100,131,1,1,1592,0.2932,edge-north,qsopoa_allocated,80.6,1.617
100,132,1,1,1675,0.3097,edge-north,qsopoa_allocated,84.75,1.7
100,133,1,1,1776,0.3299,edge-north,qsopoa_allocated,89.8,1.801
100,134,1,1,1708,0.3163,edge-west,qsopoa_allocated,86.4,1.733
100,135,1,1,1649,0.3046,edge-west,qsopoa_allocated,83.45,1.674
100,136,0,0,1067,0.1827,edge-south,qsopoa_allocated,54.35,1.077
100,137,2,0,1197,0.271,edge-south,qsopoa_allocated,60.85,1.207
100,138,1,1,1559,0.2865,edge-north,qsopoa_allocated,78.95,1.584
100,139,2,1,1565,0.2877,edge-south,qsopoa_allocated,79.25,1.59
100,140,1,1,1563,0.2874,edge-west,qsopoa_allocated,79.15,1.588
100,141,2,1,1535,0.2818,edge-north,qsopoa_allocated,77.75,1.56
100,142,2,0,1188,0.2651,edge-west,qsopoa_allocated,60.4,1.198
100,143,0,0,1058,0.1766,edge-north,qsopoa_allocated,53.9,1.068
100,144,0,0,1052,0.1723,edge-south,qsopoa_allocated,53.6,1.062
100,145,1,1,1615,0.2977,edge-central,qsopoa_allocated,81.75,1.64
100,146,2,1,1533,0.2813,edge-west,qsopoa_allocated,77.65,1.558
100,147,0,0,1028,0.156,edge-south,qsopoa_allocated,52.4,1.038
100,148,2,0,1182,0.2608,edge-south,qsopoa_allocated,60.1,1.192
100,149,2,0,1193,0.2682,edge-central,qsopoa_allocated,60.65,1.203
100,150,2,0,1133,0.2275,edge-south,qsopoa_allocated,57.65,1.143
100,151,1,1,1676,0.3099,edge-west,qsopoa_allocated,84.8,1.701
100,152,1,1,2034,0.3816,edge-north,qsopoa_allocated,102.7,2.059
100,153,2,0,1183,0.2615,edge-central,qsopoa_allocated,60.15,1.193
100,154,2,0,1147,0.2373,edge-central,qsopoa_allocated,58.35,1.157
100,155,1,1,1924,0.3595,edge-south,qsopoa_allocated,97.2,1.949
100,156,1,1,1831,0.341,edge-central,qsopoa_allocated,92.55,1.856
100,157,1,1,1825,0.3398,edge-central,qsopoa_allocated,92.25,1.85
100,158,2,0,1186,0.2636,edge-west,qsopoa_allocated,60.3,1.196
100,159,1,1,1551,0.2849,edge-central,qsopoa_allocated,78.55,1.576
100,160,0,0,1027,0.1549,edge-central,qsopoa_allocated,52.35,1.037
100,161,1,1,2007,0.3761,edge-west,qsopoa_allocated,101.35,2.032
100,162,1,1,1736,0.322,edge-north,qsopoa_allocated,87.8,1.761
100,163,1,1,1630,0.3007,edge-south,qsopoa_allocated,82.5,1.655
100,164,1,1,1893,0.3533,edge-south,qsopoa_allocated,95.65,1.918
100,165,0,0,1031,0.1577,edge-west,qsopoa_allocated,52.55,1.041
100,166,1,1,1767,0.3282,edge-north,qsopoa_allocated,89.35,1.792
100,167,2,0,1188,0.2653,edge-south,qsopoa_allocated,60.4,1.198
100,168,1,1,1538,0.2823,edge-central,qsopoa_allocated,77.9,1.563
100,169,1,1,2111,0.397,edge-south,qsopoa_allocated,106.55,2.136
100,170,1,1,1603,0.2953,edge-north,qsopoa_allocated,81.15,1.628
100,171,1,1,1764,0.3276,edge-west,qsopoa_allocated,89.2,1.789
100,172,1,1,1638,0.3024,edge-north,qsopoa_allocated,82.9,1.663
100,173,1,1,2104,0.3956,edge-west,qsopoa_allocated,106.2,2.129
100,174,1,1,2054,0.3855,edge-west,qsopoa_allocated,103.7,2.079
100,175,1,1,1536,0.282,edge-south,qsopoa_allocated,77.8,1.561
100,176,1,1,1940,0.3627,edge-central,qsopoa_allocated,98.0,1.965
100,177,1,1,1917,0.3581,edge-central,qsopoa_allocated,96.85,1.942
100,178,1,1,1653,0.3053,edge-north,qsopoa_allocated,83.65,1.678
100,179,1,1,1698,0.3143,edge-north,qsopoa_allocated,85.9,1.723
100,180,2,0,1164,0.2484,edge-west,qsopoa_allocated,59.2,1.174
100,181,2,0,1180,0.2593,edge-north,qsopoa_allocated,60.0,1.19
100,182,2,0,1177,0.2577,edge-north,qsopoa_allocated,59.85,1.187
100,183,1,1,1587,0.2922,edge-central,qsopoa_allocated,80.35,1.612
100,184,2,0,1198,0.2721,edge-south,qsopoa_allocated,60.9,1.208
100,185,1,1,1628,0.3004,edge-central,qsopoa_allocated,82.4,1.653
100,186,1,1,1614,0.2975,edge-west,qsopoa_allocated,81.7,1.639
100,187,0,0,1038,0.1626,edge-south,qsopoa_allocated,52.9,1.048
100,188,2,0,1190,0.2665,edge-north,qsopoa_allocated,60.5,1.2
100,189,2,0,1180,0.2594,edge-north,qsopoa_allocated,60.0,1.19
100,190,1,1,1571,0.289,edge-west,qsopoa_allocated,79.55,1.596
100,191,1,1,1650,0.3047,edge-north,qsopoa_allocated,83.5,1.675
100,192,1,1,1943,0.3634,edge-south,qsopoa_allocated,98.15,1.968
100,193,1,1,1712,0.3171,edge-central,qsopoa_allocated,86.6,1.737
100,194,1,1,1637,0.3022,edge-north,qsopoa_allocated,82.85,1.662
100,195,1,1,1868,0.3483,edge-central,qsopoa_allocated,94.4,1.893
100,196,1,1,1555,0.2857,edge-central,qsopoa_allocated,78.75,1.58
100,197,1,1,1751,0.325,edge-central,qsopoa_allocated,88.55,1.776
100,198,1,1,1638,0.3024,edge-central,qsopoa_allocated,82.9,1.663
100,199,1,1,1543,0.2835,edge-south,qsopoa_allocated,78.15,1.568
100,200,1,1,1791,0.3329,edge-north,qsopoa_allocated,90.55,1.816
100,201,1,1,1597,0.2942,edge-central,qsopoa_allocated,80.85,1.622
100,202,1,1,1547,0.2842,edge-south,qsopoa_allocated,78.35,1.572
100,203,0,0,1066,0.1816,edge-central,qsopoa_allocated,54.3,1.076
100,204,0,0,1071,0.1853,edge-west,qsopoa_allocated,54.55,1.081
100,205,2,1,1500,0.2748,edge-north,qsopoa_allocated,76.0,1.525
100,206,1,1,1939,0.3626,edge-south,qsopoa_allocated,97.95,1.964
100,207,1,1,1914,0.3575,edge-north,qsopoa_allocated,96.7,1.939
100,208,2,1,1555,0.2857,edge-central,qsopoa_allocated,78.75,1.58
100,209,1,1,1896,0.3539,edge-central,qsopoa_allocated,95.8,1.921
100,210,1,1,1998,0.3744,edge-north,qsopoa_allocated,100.9,2.023
100,211,1,1,1686,0.3119,edge-south,qsopoa_allocated,85.3,1.711
100,212,1,1,1521,0.2789,edge-south,qsopoa_allocated,77.05,1.546
100,213,1,1,1796,0.3339,edge-south,qsopoa_allocated,90.8,1.821
100,214,1,1,1598,0.2943,edge-west,qsopoa_allocated,80.9,1.623
100,215,2,0,1160,0.2462,edge-central,qsopoa_allocated,59.0,1.17
100,216,2,0,1164,0.2484,edge-central,qsopoa_allocated,59.2,1.174
100,217,1,1,1933,0.3614,edge-north,qsopoa_allocated,97.65,1.958
100,218,2,0,1183,0.2618,edge-north,qsopoa_allocated,60.15,1.193
100,219,1,1,1886,0.3519,edge-south,qsopoa_allocated,95.3,1.911
100,220,1,1,1895,0.3537,edge-west,qsopoa_allocated,95.75,1.92
100,221,2,0,1168,0.2517,edge-south,qsopoa_allocated,59.4,1.178
100,222,1,1,1666,0.308,edge-north,qsopoa_allocated,84.3,1.691
100,223,1,1,1701,0.315,edge-west,qsopoa_allocated,86.05,1.726
100,224,2,0,1194,0.269,edge-north,qsopoa_allocated,60.7,1.204
100,225,2,0,1190,0.2664,edge-central,qsopoa_allocated,60.5,1.2
100,226,2,0,1179,0.2589,edge-west,qsopoa_allocated,59.95,1.189
100,227,0,0,1004,0.1397,edge-south,qsopoa_allocated,51.2,1.014
100,228,1,1,1537,0.2821,edge-south,qsopoa_allocated,77.85,1.562
100,229,1,1,1679,0.3106,edge-central,qsopoa_allocated,84.95,1.704
100,230,1,1,1546,0.284,edge-north,qsopoa_allocated,78.3,1.571
100,231,2,0,1193,0.2687,edge-north,qsopoa_allocated,60.65,1.203
100,232,1,1,1979,0.3706,edge-north,qsopoa_allocated,99.95,2.004
100,233,2,0,1201,0.2738,edge-south,qsopoa_allocated,61.05,1.211
100,234,1,1,1955,0.3657,edge-central,qsopoa_allocated,98.75,1.98
100,235,0,0,1058,0.176,edge-west,qsopoa_allocated,53.9,1.068
100,236,0,0,1016,0.148,edge-south,qsopoa_allocated,51.8,1.026
100,237,1,1,1810,0.3367,edge-central,qsopoa_allocated,91.5,1.835
100,238,0,0,1123,0.2206,edge-west,qsopoa_allocated,57.15,1.133
100,239,0,0,1034,0.1602,edge-south,qsopoa_allocated,52.7,1.044
100,240,1,1,1541,0.2829,edge-south,qsopoa_allocated,78.05,1.566
100,241,2,0,1197,0.2709,edge-central,qsopoa_allocated,60.85,1.207
100,242,1,1,1879,0.3506,edge-west,qsopoa_allocated,94.95,1.904
100,243,2,0,1168,0.2517,edge-south,qsopoa_allocated,59.4,1.178
100,244,1,1,1647,0.3042,edge-north,qsopoa_allocated,83.35,1.672
100,245,1,1,1929,0.3606,edge-central,qsopoa_allocated,97.45,1.954
100,246,1,1,1627,0.3002,edge-west,qsopoa_allocated,82.35,1.652
100,247,2,0,1179,0.2592,edge-west,qsopoa_allocated,59.95,1.189
100,248,1,1,1820,0.3388,edge-west,qsopoa_allocated,92.0,1.845
100,249,1,1,1924,0.3595,edge-central,qsopoa_allocated,97.2,1.949
100,250,1,1,1822,0.3392,edge-north,qsopoa_allocated,92.1,1.847
100,251,1,1,1537,0.2821,edge-west,qsopoa_allocated,77.85,1.562
100,252,1,1,2021,0.3789,edge-south,qsopoa_allocated,102.05,2.046
100,253,1,1,1746,0.3239,edge-central,qsopoa_allocated,88.3,1.771
100,254,1,1,1962,0.3672,edge-central,qsopoa_allocated,99.1,1.987
100,255,1,1,1788,0.3323,edge-south,qsopoa_allocated,90.4,1.813
100,256,2,0,1159,0.2451,edge-central,qsopoa_allocated,58.95,1.169
100,257,1,1,1913,0.3573,edge-west,qsopoa_allocated,96.65,1.938
100,258,1,1,1653,0.3053,edge-north,qsopoa_allocated,83.65,1.678
100,259,1,1,1554,0.2856,edge-central,qsopoa_allocated,78.7,1.579
100,260,1,1,1600,0.2948,edge-north,qsopoa_allocated,81.0,1.625
100,261,1,1,1710,0.3167,edge-north,qsopoa_allocated,86.5,1.735
100,262,2,0,1188,0.2653,edge-west,qsopoa_allocated,60.4,1.198
100,263,1,1,1651,0.305,edge-central,qsopoa_allocated,83.55,1.676
100,264,1,1,1946,0.3639,edge-west,qsopoa_allocated,98.3,1.971
100,265,1,1,1557,0.2862,edge-north,qsopoa_allocated,78.85,1.582
100,266,1,1,1525,0.2797,edge-west,qsopoa_allocated,77.25,1.55
100,267,2,0,1177,0.2576,edge-south,qsopoa_allocated,59.85,1.187
100,268,1,1,1893,0.3533,edge-central,qsopoa_allocated,95.65,1.918
100,269,1,1,1773,0.3294,edge-south,qsopoa_allocated,89.65,1.798
100,270,1,1,1738,0.3224,edge-south,qsopoa_allocated,87.9,1.763
100,271,0,0,1069,0.1838,edge-west,qsopoa_allocated,54.45,1.079
100,272,0,0,1000,0.137,edge-central,qsopoa_allocated,51.0,1.01
100,273,1,1,1559,0.2865,edge-central,qsopoa_allocated,78.95,1.584
100,274,1,1,1782,0.3311,edge-west,qsopoa_allocated,90.1,1.807
100,275,1,1,1930,0.3608,edge-north,qsopoa_allocated,97.5,1.955
100,276,1,1,1502,0.2752,edge-central,qsopoa_allocated,76.1,1.527
100,277,1,1,1751,0.3249,edge-south,qsopoa_allocated,88.55,1.776
100,278,1,1,1623,0.2993,edge-central,qsopoa_allocated,82.15,1.648
100,279,1,1,1725,0.3198,edge-north,qsopoa_allocated,87.25,1.75
100,280,1,1,1569,0.2886,edge-north,qsopoa_allocated,79.45,1.594
100,281,1,1,1848,0.3444,edge-central,qsopoa_allocated,93.4,1.873
100,282,1,1,1579,0.2906,edge-west,qsopoa_allocated,79.95,1.604
100,283,1,1,1568,0.2883,edge-south,qsopoa_allocated,79.4,1.593
100,284,1,1,1911,0.3569,edge-central,qsopoa_allocated,96.55,1.936
100,285,0,0,1032,0.1587,edge-north,qsopoa_allocated,52.6,1.042
100,286,0,0,1073,0.1866,edge-south,qsopoa_allocated,54.65,1.083
100,287,1,1,1585,0.2917,edge-west,qsopoa_allocated,80.25,1.61
100,288,0,0,1072,0.186,edge-north,qsopoa_allocated,54.6,1.082
100,289,1,1,1971,0.369,edge-central,qsopoa_allocated,99.55,1.996
100,290,2,0,1180,0.2598,edge-west,qsopoa_allocated,60.0,1.19
100,291,1,1,1611,0.2971,edge-west,qsopoa_allocated,81.55,1.636
100,292,1,1,1700,0.3148,edge-north,qsopoa_allocated,86.0,1.725
100,293,2,0,1198,0.2719,edge-west,qsopoa_allocated,60.9,1.208
100,294,1,1,1702,0.3152,edge-central,qsopoa_allocated,86.1,1.727
100,295,1,1,1630,0.3008,edge-south,qsopoa_allocated,82.5,1.655
100,296,2,0,1188,0.2648,edge-central,qsopoa_allocated,60.4,1.198
100,297,2,0,1190,0.2664,edge-south,qsopoa_allocated,60.5,1.2
100,298,1,1,1733,0.3213,edge-central,qsopoa_allocated,87.65,1.758
100,299,1,1,1659,0.3066,edge-central,qsopoa_allocated,83.95,1.684
100,300,2,0,1196,0.2706,edge-south,qsopoa_allocated,60.8,1.206
100,301,1,1,1560,0.2868,edge-north,qsopoa_allocated,79.0,1.585
100,302,0,0,1021,0.1512,edge-west,qsopoa_allocated,52.05,1.031
100,303,1,1,1913,0.3574,edge-north,qsopoa_allocated,96.65,1.938
100,304,0,0,1143,0.234,edge-south,qsopoa_allocated,58.15,1.153
100,305,1,1,1701,0.3149,edge-south,qsopoa_allocated,86.05,1.726
100,306,1,1,1537,0.2821,edge-west,qsopoa_allocated,77.85,1.562
100,307,1,1,1744,0.3235,edge-north,qsopoa_allocated,88.2,1.769
100,308,1,1,1846,0.344,edge-south,qsopoa_allocated,93.3,1.871
100,309,0,0,1138,0.2311,edge-central,qsopoa_allocated,57.9,1.148
100,310,1,1,1626,0.3,edge-west,qsopoa_allocated,82.3,1.651
100,311,2,0,1177,0.2576,edge-north,qsopoa_allocated,59.85,1.187
100,312,1,1,1778,0.3304,edge-north,qsopoa_allocated,89.9,1.803
100,313,2,0,1150,0.2388,edge-central,qsopoa_allocated,58.5,1.16
100,314,1,1,1999,0.3745,edge-north,qsopoa_allocated,100.95,2.024
100,315,1,1,1889,0.3525,edge-south,qsopoa_allocated,95.45,1.914
100,316,1,1,1564,0.2875,edge-west,qsopoa_allocated,79.2,1.589
100,317,1,1,1722,0.3192,edge-north,qsopoa_allocated,87.1,1.747
100,318,1,1,1633,0.3013,edge-south,qsopoa_allocated,82.65,1.658
100,319,1,1,1920,0.3587,edge-north,qsopoa_allocated,97.0,1.945
100,320,1,1,1558,0.2864,edge-west,qsopoa_allocated,78.9,1.583
100,321,1,1,1850,0.3447,edge-west,qsopoa_allocated,93.5,1.875
100,322,0,0,1030,0.1572,edge-central,qsopoa_allocated,52.5,1.04
100,323,1,1,1928,0.3604,edge-west,qsopoa_allocated,97.4,1.953
100,324,1,1,1601,0.2951,edge-north,qsopoa_allocated,81.05,1.626
100,325,1,1,1643,0.3033,edge-central,qsopoa_allocated,83.15,1.668
100,326,0,0,1004,0.1394,edge-north,qsopoa_allocated,51.2,1.014
100,327,1,1,1533,0.2815,edge-south,qsopoa_allocated,77.65,1.558
100,328,2,0,1162,0.2475,edge-south,qsopoa_allocated,59.1,1.172
100,329,1,1,1972,0.3691,edge-west,qsopoa_allocated,99.6,1.997
100,330,0,0,1036,0.1613,edge-north,qsopoa_allocated,52.8,1.046
100,331,1,1,1727,0.3203,edge-south,qsopoa_allocated,87.35,1.752
100,332,1,1,1717,0.3182,edge-north,qsopoa_allocated,86.85,1.742
100,333,1,1,1648,0.3043,edge-west,qsopoa_allocated,83.4,1.673
100,334,2,0,1176,0.2566,edge-south,qsopoa_allocated,59.8,1.186
100,335,1,1,1525,0.2798,edge-west,qsopoa_allocated,77.25,1.55
100,336,1,1,1699,0.3145,edge-central,qsopoa_allocated,85.95,1.724
100,337,1,1,1968,0.3684,edge-south,qsopoa_allocated,99.4,1.993
100,338,2,0,1192,0.268,edge-central,qsopoa_allocated,60.6,1.202
100,339,1,1,1804,0.3356,edge-south,qsopoa_allocated,91.2,1.829
100,340,1,1,1711,0.317,edge-west,qsopoa_allocated,86.55,1.736
100,341,2,0,1189,0.2658,edge-central,qsopoa_allocated,60.45,1.199
100,342,1,1,1626,0.3,edge-west,qsopoa_allocated,82.3,1.651
100,343,1,1,1564,0.2875,edge-west,qsopoa_allocated,79.2,1.589
100,344,1,1,1639,0.3026,edge-north,qsopoa_allocated,82.95,1.664
100,345,2,0,1147,0.2368,edge-south,qsopoa_allocated,58.35,1.157
100,346,2,0,1138,0.2312,edge-north,qsopoa_allocated,57.9,1.148
100,347,1,1,1635,0.3017,edge-north,qsopoa_allocated,82.75,1.66
100,348,1,1,1925,0.3598,edge-south,qsopoa_allocated,97.25,1.95
100,349,1,1,1897,0.3542,edge-north,qsopoa_allocated,95.85,1.922
100,350,1,1,1827,0.3401,edge-south,qsopoa_allocated,92.35,1.852
100,351,1,1,2167,0.4081,edge-south,qsopoa_allocated,109.35,2.192
100,352,2,0,1179,0.259,edge-west,qsopoa_allocated,59.95,1.189
100,353,2,0,1176,0.2571,edge-west,qsopoa_allocated,59.8,1.186
100,354,1,1,1701,0.3149,edge-south,qsopoa_allocated,86.05,1.726
100,355,2,0,1153,0.2412,edge-north,qsopoa_allocated,58.65,1.163
100,356,2,0,1179,0.2587,edge-south,qsopoa_allocated,59.95,1.189
